Rank,Title,Link,Score,Episodes,Status,Studio,Producers,Type,Genres & Themes
1,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,9.32,28,Finished Airing,Madhouse,Aniplex,Shounen,"Adventure, Drama, Fantasy"
2,One Piece Fan Letter,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,9.19,1,Finished Airing,Toei Animation,add some,Shounen,"Action, Adventure, Fantasy"
3,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,9.09,64,Finished Airing,Bones,Aniplex,Shounen,"Action, Adventure, Drama, Fantasy, Military"
4,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,9.07,24,Finished Airing,White Fox,Frontier Works,,"Drama, Sci-Fi, Suspense, Psychological, Time Travel"
5,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,9.05,10,Finished Airing,Wit Studio,Production I.G,Shounen,"Action, Drama, Suspense, Gore, Military, Survival"
6,Gintama°,https://myanimelist.net/anime/28977/Gintama°,9.05,51,Finished Airing,Bandai Namco Pictures,TV Tokyo,Shounen,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
7,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,9.04,1,Finished Airing,Bandai Namco Pictures,TV Tokyo,Shounen,"Action, Comedy, Drama, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
8,Gintama',https://myanimelist.net/anime/9969/Gintama,9.03,51,Finished Airing,Sunrise,TV Tokyo,Shounen,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
9,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,9.03,148,Finished Airing,Madhouse,VAP,Shounen,"Action, Adventure, Fantasy"
10,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,9.02,13,Finished Airing,Sunrise,TV Tokyo,Shounen,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
11,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,9.01,13,Finished Airing,Pierrot,TV Tokyo,Shounen,"Action, Adventure, Supernatural"
12,Bleach: Sennen Kessen-hen - Soukoku-tan,https://myanimelist.net/anime/56784/Bleach__Sennen_Kessen-hen_-_Soukoku-tan,9.01,34,Currently Airing,Pierrot Films,Pierrot,Shounen,"Action, Adventure, Supernatural"
13,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,9.01,110,Finished Airing,K-Factory,TV Tokyo,,"Drama, Sci-Fi, Adult Cast, Military, Space"
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,9.00,13,Finished Airing,A-1 Pictures,Aniplex,Seinen,"Comedy, Romance, School"
15,Gintama.,https://myanimelist.net/anime/34096/Gintama,8.98,12,Finished Airing,Bandai Namco Pictures,TV Tokyo,Shounen,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
16,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,8.96,13,Finished Airing,TMS Entertainment,TV Tokyo,Shoujo,"Drama, Romance, Supernatural"
17,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,8.93,24,Finished Airing,Kyoto Animation,Pony Canyon,,"Drama, Romance, Supernatural"
18,Gintama,https://myanimelist.net/anime/918/Gintama,8.93,201,Finished Airing,Sunrise,TV Tokyo,Shounen,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
19,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,8.93,1,Finished Airing,Kyoto Animation,Shochiku,Shounen,"Award Winning, Drama"
20,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,8.91,22,Finished Airing,Shaft,Aniplex,Seinen,"Drama, Childcare, Strategy Game"
21,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,8.91,25,Finished Airing,Sunrise,Bandai Visual,,"Action, Award Winning, Drama, Sci-Fi, Mecha, Military, Super Power"
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,8.90,1,Finished Airing,Sunrise,TV Tokyo,Shounen,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Time Travel"
23,Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,8.89,24,Finished Airing,OLM,Dentsu,,"Drama, Mystery, Historical, Medical"
24,Look Back,https://myanimelist.net/anime/58125/Look_Back,8.89,1,Finished Airing,Studio DURIAN,Avex Pictures,Shounen,"Drama, Otaku Culture"
25,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,https://myanimelist.net/anime/54857/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_3rd_Season,8.89,16,Currently Airing,White Fox,AT-X,,"Drama, Fantasy, Suspense, Isekai, Psychological, Time Travel"
26,Monster,https://myanimelist.net/anime/19/Monster,8.88,74,Finished Airing,Madhouse,VAP,Seinen,"Drama, Mystery, Suspense, Adult Cast, Psychological"
27,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,8.88,14,Finished Airing,Bandai Namco Pictures,TV Tokyo,Shounen,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
28,Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,8.87,7,Finished Airing,Shaft,Aniplex,,"Comedy, Mystery, Supernatural, Vampire"
29,Shingeki no Kyojin: The Final Season - Kanketsu-hen,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,8.87,2,Finished Airing,MAPPA,Production I.G,Shounen,"Action, Drama, Suspense, Gore, Military, Survival"
30,Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,8.85,1,Finished Airing,Kyoto Animation,Shochiku,,"Award Winning, Drama"
31,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,8.83,1,Finished Airing,CoMix Wave Films,TOHO,,"Award Winning, Drama"
32,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,8.83,26,Finished Airing,Pierrot,Shueisha,Seinen,"Action, Historical, Military"
33,Gintama.: Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,8.81,12,Finished Airing,Bandai Namco Pictures,TV Tokyo,Shounen,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
34,Vinland Saga Season 2,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,8.81,24,Finished Airing,MAPPA,Dentsu,Seinen,"Action, Adventure, Drama, Gore, Historical"
35,Monogatari Series: Off & Monster Season,https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season,8.80,14,Finished Airing,Shaft,Aniplex,,"Comedy, Mystery, Supernatural, Vampire"
36,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,8.79,23,Finished Airing,MAPPA,Mainichi Broadcasting System,Shounen,"Action, Supernatural, Gore, School"
37,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,8.79,13,Finished Airing,Bones,Warner Bros. Japan,,"Action, Comedy, Supernatural"
38,Boku no Kokoro no Yabai Yatsu 2nd Season,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,8.79,13,Finished Airing,Shin-Ei Animation,Dentsu,Shounen,"Comedy, Romance, School"
39,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,8.78,16,Finished Airing,MAPPA,Production I.G,Shounen,"Action, Drama, Suspense, Gore, Military, Survival"
40,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,8.78,1,Finished Airing,Shaft,Aniplex,,"Action, Mystery, Supernatural, Vampire"
41,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,8.77,12,Finished Airing,CloverWorks,Aniplex,,"Comedy, CGDCT, Music"
42,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,8.77,10,Finished Airing,Production I.G,Dentsu,Shounen,"Sports, School, Team Sports"
43,Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo,8.77,75,Finished Airing,Madhouse,VAP,Shounen,"Sports, Combat Sports"
44,Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,8.77,1,Finished Airing,Studio Ghibli,Dentsu,,"Adventure, Award Winning, Fantasy, Mythology"
45,Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,8.76,12,Finished Airing,MAPPA,Production I.G,Shounen,"Action, Drama, Suspense, Gore, Military, Survival"
46,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,8.76,24,Finished Airing,Wit Studio,Production I.G,Seinen,"Action, Adventure, Drama, Gore, Historical"
47,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,8.76,26,Finished Airing,Shaft,Aniplex,,"Comedy, Mystery, Romance, Supernatural, Vampire"
48,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,8.75,1,Finished Airing,A-1 Pictures,Aniplex,Seinen,"Comedy, Drama, Romance, School"
49,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,8.75,26,Finished Airing,Sunrise,Bandai Visual,,"Action, Award Winning, Sci-Fi, Adult Cast, Space"
50,The First Slam Dunk,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,8.74,1,Finished Airing,Toei Animation,Shueisha,Shounen,"Award Winning, Sports, School, Team Sports"
51,Shiguang Dailiren,https://myanimelist.net/anime/44074/Shiguang_Dailiren,8.73,11,Finished Airing,LAN Studio,bilibili,,"Drama, Mystery, Suspense, Adult Cast, Super Power, Time Travel"
52,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,8.73,47,Finished Airing,Tokyo Movie Shinsha,Annapuru,Shounen,"Drama, Sports, Combat Sports"
53,Hibike! Euphonium 3,https://myanimelist.net/anime/39894/Hibike_Euphonium_3,8.73,13,Finished Airing,Kyoto Animation,Lantis,,"Drama, Music, Performing Arts, School"
54,Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,8.73,11,Finished Airing,ufotable,Aniplex,Shounen,"Action, Supernatural, Historical"
55,Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season,8.73,26,Finished Airing,Pierrot,Avex Pictures,Seinen,"Action, Historical, Military"
56,Kingdom 5th Season,https://myanimelist.net/anime/53223/Kingdom_5th_Season,8.73,13,Finished Airing,Pierrot,Avex Pictures,Seinen,"Action, Historical, Military"
57,Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,8.72,10,Finished Airing,Artland,Aniplex,Seinen,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei"
